time;queries_in_system;time_in_queues;rejected_connections;parallel_query;load_ratio;TZ00:00
2025-05-22T10:22:41Z00:00;23;39;0;23;0.36;
2025-05-22T10:23:11Z00:00;21;1;0;21;0.33;
2025-05-22T10:23:41Z00:00;77;0;0;77;1.20;
2025-05-22T10:24:11Z00:00;30;1;0;30;0.47;
2025-05-22T10:24:41Z00:00;20;0;0;20;0.31;
2025-05-22T10:25:11Z00:00;16;0;0;16;0.25;
2025-05-22T10:25:41Z00:00;34;1;0;34;0.53;
2025-05-22T10:26:11Z00:00;25;4;0;25;0.39;
2025-05-22T10:26:41Z00:00;19;1;0;19;0.30;
2025-05-22T10:27:11Z00:00;21;0;0;21;0.33;
2025-05-22T10:27:41Z00:00;25;0;0;25;0.39;
2025-05-22T10:28:11Z00:00;31;1;0;31;0.48;
2025-05-22T10:28:41Z00:00;33;35;0;33;0.52;
2025-05-22T10:29:11Z00:00;97;0;0;97;1.52;
2025-05-22T10:29:41Z00:00;52;25;0;52;0.81;
2025-05-22T10:30:11Z00:00;19;7;0;19;0.30;
2025-05-22T10:30:41Z00:00;102;4;0;102;1.59;
2025-05-22T10:31:11Z00:00;28;1;0;28;0.44;
2025-05-22T10:31:41Z00:00;21;1;0;21;0.33;
2025-05-22T10:32:11Z00:00;29;0;0;29;0.45;
2025-05-22T10:32:41Z00:00;34;0;0;34;0.53;
2025-05-22T10:33:11Z00:00;50;0;0;50;0.78;
2025-05-22T10:33:41Z00:00;33;0;0;33;0.52;
2025-05-22T10:34:11Z00:00;38;68;0;38;0.59;
2025-05-22T10:34:41Z00:00;24;1;0;24;0.38;
2025-05-22T10:35:11Z00:00;22;0;0;22;0.34;
2025-05-22T10:35:41Z00:00;32;15;0;32;0.50;
2025-05-22T10:36:11Z00:00;21;0;0;21;0.33;
2025-05-22T10:36:41Z00:00;32;53;0;32;0.50;
2025-05-22T10:37:11Z00:00;20;0;0;20;0.31;
2025-05-22T10:37:41Z00:00;30;0;0;30;0.47;
2025-05-22T10:38:11Z00:00;47;0;0;47;0.73;
2025-05-22T10:38:41Z00:00;48;0;0;46;0.72;
2025-05-22T10:39:11Z00:00;19;74;0;19;0.30;
2025-05-22T10:39:41Z00:00;44;0;0;44;0.69;
2025-05-22T10:40:11Z00:00;65;1;0;65;1.02;
2025-05-22T10:40:41Z00:00;33;1;0;33;0.52;
2025-05-22T10:41:11Z00:00;34;0;0;34;0.53;
2025-05-22T10:41:41Z00:00;31;0;0;31;0.48;
2025-05-22T10:42:11Z00:00;14;0;0;14;0.22;
2025-05-22T10:42:41Z00:00;22;1;0;22;0.34;
2025-05-22T10:43:11Z00:00;21;0;0;21;0.33;
2025-05-22T10:43:41Z00:00;55;37;0;55;0.86;
2025-05-22T10:44:11Z00:00;39;0;0;39;0.61;
2025-05-22T10:44:41Z00:00;29;13;0;29;0.45;
2025-05-22T10:45:11Z00:00;24;8;0;24;0.38;
2025-05-22T10:45:41Z00:00;34;1;0;34;0.53;
2025-05-22T10:46:11Z00:00;43;2;0;43;0.67;
2025-05-22T10:46:41Z00:00;66;16;0;66;1.03;
2025-05-22T10:47:11Z00:00;51;0;0;51;0.80;
2025-05-22T10:47:41Z00:00;109;2;0;109;1.70;
2025-05-22T10:48:11Z00:00;19;38;0;19;0.30;
2025-05-22T10:48:41Z00:00;30;0;0;30;0.47;
2025-05-22T10:49:11Z00:00;23;1;0;23;0.36;
2025-05-22T10:49:41Z00:00;49;1;0;49;0.77;
2025-05-22T10:50:11Z00:00;22;0;0;22;0.34;
2025-05-22T10:50:41Z00:00;36;1;0;36;0.56;
2025-05-22T10:51:11Z00:00;34;12;0;34;0.53;
2025-05-22T10:51:41Z00:00;35;1;0;35;0.55;
2025-05-22T10:52:11Z00:00;20;1;0;20;0.31;
2025-05-22T10:52:41Z00:00;33;2;0;33;0.52;
2025-05-22T10:53:11Z00:00;22;0;0;22;0.34;
2025-05-22T10:53:41Z00:00;47;0;0;47;0.73;
2025-05-22T10:54:11Z00:00;16;0;0;16;0.25;
2025-05-22T10:54:41Z00:00;56;0;0;56;0.88;
2025-05-22T10:55:11Z00:00;32;0;0;32;0.50;
2025-05-22T10:55:41Z00:00;30;0;0;30;0.47;
2025-05-22T10:56:11Z00:00;17;11;0;17;0.27;
2025-05-22T10:56:41Z00:00;15;4;0;15;0.23;
2025-05-22T10:57:11Z00:00;13;0;0;13;0.20;
2025-05-22T10:57:41Z00:00;62;1;0;62;0.97;
2025-05-22T10:58:11Z00:00;25;0;0;25;0.39;
2025-05-22T10:58:41Z00:00;108;24;0;108;1.69;
2025-05-22T10:59:11Z00:00;24;0;0;24;0.38;
2025-05-22T10:59:41Z00:00;21;0;0;21;0.33;
2025-05-22T11:00:11Z00:00;23;7;0;23;0.36;
2025-05-22T11:00:41Z00:00;29;6;0;29;0.45;
2025-05-22T11:01:11Z00:00;28;1;0;28;0.44;
2025-05-22T11:01:41Z00:00;35;0;0;35;0.55;
2025-05-22T11:02:11Z00:00;28;0;0;28;0.44;
2025-05-22T11:02:41Z00:00;20;1;0;20;0.31;
2025-05-22T11:03:11Z00:00;31;2;0;31;0.48;
2025-05-22T11:03:41Z00:00;56;1;0;56;0.88;
2025-05-22T11:04:11Z00:00;24;1;0;24;0.38;
2025-05-22T11:04:41Z00:00;38;1;0;38;0.59;
2025-05-22T11:05:11Z00:00;20;0;0;20;0.31;
2025-05-22T11:05:41Z00:00;30;5;0;30;0.47;
2025-05-22T11:06:11Z00:00;24;0;0;24;0.38;
2025-05-22T11:06:41Z00:00;24;1;0;24;0.38;
2025-05-22T11:07:11Z00:00;21;2;0;21;0.33;
2025-05-22T11:07:41Z00:00;22;1;0;22;0.34;
2025-05-22T11:08:11Z00:00;25;1;0;25;0.39;
2025-05-22T11:08:41Z00:00;84;1;0;84;1.31;
2025-05-22T11:09:11Z00:00;36;6;0;36;0.56;
2025-05-22T11:09:41Z00:00;47;32;0;47;0.73;
2025-05-22T11:10:11Z00:00;42;5;0;42;0.66;
2025-05-22T11:10:41Z00:00;47;2;0;47;0.73;
2025-05-22T11:11:11Z00:00;40;5;0;40;0.62;
2025-05-22T11:11:41Z00:00;30;1;0;30;0.47;
2025-05-22T11:12:11Z00:00;31;1;0;31;0.48;
2025-05-22T11:12:41Z00:00;35;1;0;35;0.55;
2025-05-22T11:13:11Z00:00;29;2;0;29;0.45;
2025-05-22T11:13:41Z00:00;45;7;0;45;0.70;
2025-05-22T11:14:11Z00:00;49;2;0;49;0.77;
2025-05-22T11:14:41Z00:00;30;3;0;30;0.47;
2025-05-22T11:15:11Z00:00;51;1;0;51;0.80;
2025-05-22T11:15:41Z00:00;76;0;0;76;1.19;
